PNO,CUE,time_date
2052,Reaching towards food,02/11/2016 00:11
2052,Hand to stomach/mouth,02/11/2016 00:12
2052,Hand to stomach/mouth,02/11/2016 00:21
2052,Turning head to caregiver,02/11/2016 00:24
2052,Hand to stomach/mouth,02/11/2016 00:29
2052,Hand to stomach/mouth,02/11/2016 00:37
2052,Babbling,02/11/2016 00:41
2052,Turning head to caregiver,02/11/2016 00:43
2052,Turning head to caregiver,02/11/2016 00:50
2052,Hand to stomach/mouth,02/11/2016 00:51
2052,Hand to stomach/mouth,02/11/2016 00:57
2052,Reaching towards food,02/11/2016 01:01
2052,Hand to stomach/mouth,02/11/2016 01:02
2052,Reaching towards food,02/11/2016 01:06
2052,Hand to stomach/mouth,02/11/2016 01:10
2052,Turning head to caregiver,02/11/2016 01:15
2052,Reaching towards food,02/11/2016 01:16
2052,Hand to stomach/mouth,02/11/2016 01:17
2052,Reaching towards food,02/11/2016 01:20
2052,Hand to stomach/mouth,02/11/2016 01:21
2052,Hand to stomach/mouth,02/11/2016 01:27
2052,Reaching towards food,02/11/2016 01:35
2052,Hand to stomach/mouth,02/11/2016 01:36
2052,Reaching towards food,02/11/2016 01:44
2052,Hand to stomach/mouth,02/11/2016 01:46
2052,Reaching towards food,02/11/2016 01:52
2052,Hand to stomach/mouth,02/11/2016 01:53
2052,Reaching towards food,02/11/2016 01:56
2052,Hand to stomach/mouth,02/11/2016 01:57
2052,Reaching towards food,02/11/2016 02:25
2052,Turning head to caregiver,02/11/2016 02:37
2052,Reaching towards food,02/11/2016 02:41
2052,Hand to stomach/mouth,02/11/2016 02:42
2052,Reaching towards food,02/11/2016 02:45
2052,Reaching towards food,02/11/2016 02:53
2052,Hand to stomach/mouth,02/11/2016 02:54
2052,Reaching towards food,02/11/2016 03:01
2052,Babbling,02/11/2016 03:05
2052,Reaching towards food,02/11/2016 03:10
2052,Turning head to caregiver,02/11/2016 03:14
2052,Reaching towards food,02/11/2016 03:38
2052,Hand to stomach/mouth,02/11/2016 03:46
2052,Reaching towards food,02/11/2016 03:49
2052,Hand to stomach/mouth,02/11/2016 03:50
2052,Reaching towards food,02/11/2016 03:55
2052,Hand to stomach/mouth,02/11/2016 03:56
2052,Reaching towards food,02/11/2016 03:57
2052,Hand to stomach/mouth,02/11/2016 03:58
2052,Reaching towards food,02/11/2016 04:03
2052,Hand to stomach/mouth,02/11/2016 04:04
2052,Reaching towards food,02/11/2016 04:11
2052,Hand to stomach/mouth,02/11/2016 04:14
2052,Reaching towards food,02/11/2016 04:19
2052,Hand to stomach/mouth,02/11/2016 04:24
2052,Turning head to caregiver,02/11/2016 04:30
2052,Reaching towards food,02/11/2016 04:35
2052,Hand to stomach/mouth,02/11/2016 04:36
2052,Babbling,02/11/2016 04:40
2052,Reaching towards food,02/11/2016 04:48
2052,Hand to stomach/mouth,02/11/2016 04:49
2052,Reaching towards food,02/11/2016 04:58
2052,Hand to stomach/mouth,02/11/2016 05:01
2052,Turning head to caregiver,02/11/2016 05:07
2052,Reaching towards food,02/11/2016 05:11
2052,Hand to stomach/mouth,02/11/2016 05:15
2052,Turning head to caregiver,02/11/2016 05:21
2052,Babbling,02/11/2016 05:31
